position_um,dark_field_noiseless_binned_i0,dark_field_noisy_i0,dual_port_signal_noiseless,dual_port_signal_noisy,I_V_noiseless_binned_i0,I_H_noiseless_binned_i0,I_V_noisy_i0,I_H_noisy_i0
-49.31640625,2.59087792806e-10,-0.00026866813753,2.94498078171e-05,-0.0148702424003,0.499985627729,0.500015077558,0.511149891688,0.496170788992
-47.8515625,2.47367700841e-10,0.000771278985662,2.99837309941e-05,0.00496310181193,0.499985148414,0.500015132154,0.505510273114,0.510553099078
-46.38671875,3.40374674948e-11,5.50689047679e-05,4.99287064029e-06,0.0114032276104,0.499997411878,0.500002404747,0.496305883836,0.507755423458
-44.921875,1.31250475496e-10,-0.00194752632907,-2.18175826199e-05,-0.00805067962282,0.500010697075,0.499988879502,0.512762865374,0.504572623286
-43.45703125,1.75619398796e-10,0.00171672030869,-2.39727224835e-05,0.0094515428616,0.500011727357,0.499987754647,0.475459447943,0.484532856354
-41.9921875,2.98714090607e-10,-0.00233364458159,-3.10731485677e-05,0.00649768922668,0.500015286453,0.49998421332,0.50383894353,0.510429343652
-40.52734375,5.3953655988e-10,0.00101716477037,-4.43527224992e-05,-0.00571070952166,0.500022038381,0.49997768567,0.505515161794,0.499774246
-39.0625,1.97823397218e-10,0.0027294344239,-2.4406645183e-05,-0.0230911494346,0.50001222914,0.499987822494,0.518629985604,0.495219046108
-37.59765625,3.03356082923e-11,-0.00381986113699,8.23899072786e-06,0.0265779860613,0.499996058846,0.50000429784,0.488134639705,0.514790366542
-36.1328125,1.99296840797e-10,0.000310440415225,2.38625396688e-05,0.015089444989,0.499988451509,0.500012314067,0.495125749266,0.510297020847
-34.66796875,1.12902088741e-09,0.000410106910288,6.05549864716e-05,-0.0060851767461,0.499970255338,0.500030810389,0.502930749539,0.496846925679
-33.203125,2.38751587929e-09,0.000251953191523,9.40463552054e-05,0.0318703686594,0.499953265546,0.500047311956,0.483195163105,0.515008274664
-31.73828125,6.15055395993e-10,-0.00153522082983,3.76397341332e-05,-0.00651861158993,0.499980908496,0.50001854821,0.490692373532,0.484336538764
-30.2734375,2.68056085321e-10,-0.000717518207821,-3.12726418391e-05,0.00353086239023,0.500014968016,0.499983695416,0.497832217895,0.501360228926
-28.80859375,3.74552473741e-10,-0.00266819870026,-2.30622783349e-05,0.00275313435562,0.500010580026,0.499987517791,0.477880659353,0.480519263106
-27.34375,9.25477815227e-09,7.8059069612e-05,-0.000159541114543,0.0032542942722,0.500078779042,0.499919238244,0.493250528899,0.496471375222
-25.87890625,3.44030713387e-08,0.000804533286525,-0.000360323939594,0.0165254657622,0.500180931405,0.499820606911,0.498411333124,0.515161089491
-24.4140625,3.22716051273e-07,-0.00135650487497,0.000820250429521,-0.0175807594477,0.499592379446,0.500412633987,0.515022440114,0.497226337847
-22.94921875,9.40100739582e-06,-0.00182462002177,0.0057082555104,-0.00407468040873,0.497137576141,0.502845736395,0.523598276308,0.5193486011
-21.484375,6.46010050318e-05,-0.00101248189189,0.0155784436411,0.0177357967424,0.492161703388,0.507738593815,0.490559406417,0.50827452195
-20.01953125,0.000230277057438,8.1566391902e-05,0.029820511052,0.00431679100186,0.484958160126,0.514770582133,0.48957531177,0.493820425641
-18.5546875,0.000567224598056,0.000204850653088,0.0470625573189,0.0249111682327,0.476209103948,0.523246017908,0.480864007579,0.505433839167
-17.08984375,0.0011198276437,0.00016919652043,0.0662909661204,0.0698617405802,0.466427621052,0.532657970128,0.450995445757,0.518743066103
-15.625,0.0019132449547,0.0028274335645,0.0867574178131,0.0899469792256,0.45600142728,0.54264107182,0.449456152947,0.538302016494
-14.16015625,0.00294184976463,0.00139562191077,0.107645679829,0.142284272068,0.445351071904,0.552797447887,0.426243466519,0.567660347153
-12.6953125,0.00417164673773,0.000153753509301,0.128212148904,0.143754377626,0.434859084347,0.562766849074,0.422889614879,0.564886798405
-11.23046875,0.0055516782477,0.00824663171549,0.147898550917,0.167637579429,0.424815716682,0.572285548993,0.420573928831,0.589980893052
-9.765625,0.00701457180848,0.00916793007241,0.166210208907,0.163765570877,0.41547628982,0.581120920312,0.420959090252,0.585837749465
-8.30078125,0.00848092388698,0.0043357274089,0.182701120234,0.174951816502,0.407068252269,0.589062446909,0.413317493073,0.588605791748
-6.8359375,0.00987064179245,0.00724864310288,0.19703160522,0.17874929903,0.399765188402,0.595953176108,0.398786567035,0.572382325883
-5.37109375,0.0111054930821,0.0131573362303,0.208919135078,0.193554873111,0.393709973684,0.601662285061,0.400734422266,0.593094937984
-3.90625,0.0121136397663,0.0151113000493,0.218128733308,0.200560810122,0.389019793924,0.606079554258,0.404763699901,0.607855408658
-2.44140625,0.0128406021927,0.0111701695698,0.224526506408,0.238660954771,0.385762868199,0.609146361805,0.377298960895,0.613846740246
-0.9765625,0.0132474330325,0.0190856485505,0.228025201659,0.237050206105,0.383983587519,0.610825021114,0.380073899569,0.61625351964
0.48828125,0.0133066336607,0.0161745631596,0.228529645313,0.23867929119,0.383727251459,0.611067296712,0.382765910862,0.622765414984
1.953125,0.0130134332644,0.0141418681322,0.226019757154,0.237668903212,0.385003213496,0.609862526435,0.375160175731,0.609084537128
3.41796875,0.0123893472774,0.0141367699197,0.220577910818,0.227009804087,0.387772719108,0.607253530443,0.380413659741,0.603851501065
4.8828125,0.0114698409249,0.0113193821317,0.212295329049,0.211513778148,0.391990503243,0.60328226255,0.39841414341,0.612165705339
6.34765625,0.0103032627717,0.0124199860844,0.201278803033,0.201776468132,0.397601524134,0.59799374902,0.402306137925,0.605697564957
7.8125,0.00895656731978,0.0116438195393,0.187732414737,0.171785643328,0.404503763009,0.591482708316,0.409624569884,0.579550675833
9.27734375,0.00750698272895,0.00653663349919,0.171928363436,0.177075803951,0.412560489336,0.583876222464,0.405463324558,0.579957511296
10.7421875,0.00603389801939,0.00512839430311,0.154179112229,0.155315386944,0.42161214015,0.575317933926,0.428262992477,0.585755697713
12.20703125,0.00461793109507,0.00610678106361,0.134896697928,0.133826233547,0.431448636229,0.566001345053,0.439350993317,0.575112871401
13.671875,0.00333164352128,0.00341672907169,0.114567454187,0.103996549823,0.441820321876,0.556155919149,0.449384498185,0.55370203702
15.13671875,0.00223121546745,0.00313754123011,0.0937140950416,0.12467575226,0.452455299225,0.546027181303,0.441985470731,0.56789280437
16.6015625,0.00135710636415,-0.00277067392992,0.0730142319787,0.0702793617795,0.463003828909,0.535941019828,0.472688610299,0.544151483095
18.06640625,0.00072572024949,-0.000419922097046,0.0532885791767,0.0736899546912,0.473044086868,0.526297584655,0.467571805514,0.541964489341
19.53125,0.000321053971682,0.00192303907507,0.0352955460227,0.0117515107848,0.482182942243,0.517466101057,0.506616001315,0.518664597327
20.99609375,0.000104214109234,-0.000986088192964,0.0199078757504,0.0248272180053,0.489974480822,0.509879448617,0.491286050107,0.516301649587
22.4609375,1.97859949377e-05,0.000130824690093,0.00844106291651,0.0060052426975,0.495761654297,0.504202413911,0.491060968987,0.496994481767
23.92578125,1.3013330788e-06,-0.00308335429928,0.00193510138222,-0.00930535273834,0.499033641538,0.500968747544,0.511572661582,0.502139710386
25.390625,2.43713860654e-08,0.00258957672032,-0.000233828888603,0.0136293381932,0.500118642802,0.499884813106,0.504374585423,0.51831314233
26.85546875,2.01941838359e-08,0.000886141436615,-0.000257322210513,-0.0167711394896,0.500127984117,0.499870662255,0.522133616268,0.504908942257
28.3203125,9.82401854226e-10,-0.000227408551066,-3.78712886261e-05,-0.0190012045267,0.500017889268,0.499980018058,0.500885100025,0.482205200163
29.78515625,3.00028040593e-10,0.000562697560495,-3.23028987439e-05,-0.0106011209233,0.50001539481,0.499983091961,0.518431418946,0.507554814816
31.25,2.19504848954e-10,0.000405349336116,7.16265467817e-06,-0.00128333631585,0.499995982725,0.500003145373,0.494832408345,0.493563963387
32.71484375,2.04308223716e-09,0.00235066679946,8.61325549961e-05,0.0182982278068,0.499957046328,0.500043178902,0.483643033406,0.501672562644
34.1796875,1.71954678712e-09,0.00020184983911,7.72636310073e-05,-0.00559831468693,0.49996187482,0.50003913853,0.500528530149,0.494955497298
35.64453125,3.59497669836e-10,-0.00281424906852,3.20060465021e-05,-0.0256193388692,0.499984452329,0.500016458404,0.509954557069,0.484477856094
37.109375,6.44224169739e-11,-0.000639182178419,1.43181591811e-05,-0.0173942624263,0.49999307918,0.500007397346,0.500032960063,0.482934958137
38.57421875,7.76933047707e-11,0.002113828851,-1.21424305655e-05,-0.0121311590672,0.500006147568,0.499994005135,0.519699327881,0.507241347199
40.0390625,4.88427796735e-10,0.000836201348553,-4.21203476499e-05,-0.0209435300618,0.500020976613,0.499978856273,0.50879461049,0.487919890378
41.50390625,4.01720596022e-10,-0.000934391179923,-3.69667644135e-05,0.0151951513899,0.500018258797,0.49998129205,0.499753686424,0.515175691979
42.96875,1.85429074899e-10,0.000908896927419,-2.41078011417e-05,0.0014494729076,0.500011788985,0.499987681197,0.513114492981,0.514604143301
44.43359375,1.66692642406e-10,2.61357514765e-05,-2.45919978572e-05,-0.0046565075245,0.500012063727,0.499987471741,0.51198620715,0.507240171847
45.8984375,3.3008360712e-11,0.000907570579227,-6.16533174487e-06,-0.0345119625825,0.500002938248,0.499996772918,0.5285692194,0.493302423497
47.36328125,1.73995946393e-10,-0.00301863102677,2.46275266667e-05,-0.00217502238302,0.499987740716,0.500012368246,0.508107255604,0.505901763291
48.828125,2.79289463442e-10,-0.00178728353582,3.11627600715e-05,-0.0302319057214,0.499984717173,0.500015879951,0.520982015108,0.490405833035
